timestamp,detection,RMS,frequency_content
5.003878,1,0.274109,3679.280518
10.733401,1,0.239509,4886.406738
13.287596,1,0.395631,3994.544434
15.568957,1,0.246197,3977.504639
17.687778,1,0.302606,3877.970215
18.930045,1,0.292482,3266.351562
20.764422,1,0.400665,3846.922607
22.482698,1,0.238544,2582.069336
23.318617,1,0.228961,2197.885742
26.041156,1,0.267183,5715.836426
75.789909,1,0.264100,2186.564941
77.519796,1,0.231823,2454.319824
79.673447,1,0.236209,3541.098877
81.536848,1,0.289130,1802.172974
83.667279,1,0.300210,2895.716309
85.362336,1,0.256648,1660.061401
87.388277,1,0.224050,2591.842529
89.437438,1,0.322532,1561.235352
91.573673,1,0.296858,2724.315674
93.622834,1,0.291245,3043.834961
95.689410,1,0.257091,3178.214844
97.790816,1,0.273685,3683.816895
99.636803,1,0.224924,2779.974121
101.471179,1,0.234768,2034.223755
103.334580,1,0.231966,2742.915527
105.273447,1,0.282361,3032.928711
107.003333,1,0.278555,3652.614014
109.023469,1,0.303715,3778.429688
110.857846,1,0.324044,2275.533691
112.796712,1,0.277946,3356.713867
114.654308,1,0.234915,2875.046387
116.790544,1,0.240281,2024.850342
118.503016,1,0.244640,1717.009399
120.616032,1,0.255048,3309.609375
122.496848,1,0.342796,2526.738770
124.615669,1,0.324066,1484.535889
126.473265,1,0.262152,2670.199951
128.464376,1,0.266822,2147.383057
130.536757,1,0.340192,2890.666260
132.278254,1,0.291133,2194.792480
134.443515,1,0.260334,2672.535645
136.469456,1,0.292768,2469.052002
138.356077,1,0.245982,3420.376709
